id,sender,subject,body,text,label,label_numeric
safe-0356,newsletter@company.example,Software Update Release Notes,"Hello, The project team completed this week's planned activities. No action is required at this time. Thanks, The Community Team. Message reference: SAFE-0356.","Software Update Release Notes Hello, The project team completed this week's planned activities. No action is required at this time. Thanks, The Community Team. Message reference: SAFE-0356.",safe,0
phishing-0223,security@unknown-bank-alert.com,Your Account Has Been Suspended,"Dear Customer, We detected suspicious activity on your account. Verify your password and OTP immediately: http://mailbox-validation.example/signin. This request will expire within 24 hours. Reference ID: PH-0223.","Your Account Has Been Suspended Dear Customer, We detected suspicious activity on your account. Verify your password and OTP immediately: http://mailbox-validation.example/signin. This request will expire within 24 hours. Reference ID: PH-0223.",phishing,1
phishing-0472,billing@payment-review-alert.com,Security Alert: Password Confirmation Required,"Dear Customer, You have been selected to receive a limited reward. Confirm your account information now: http://reward-claim.example/winner. Failure to respond may result in permanent suspension. Reference ID: PH-0472.","Security Alert: Password Confirmation Required Dear Customer, You have been selected to receive a limited reward. Confirm your account information now: http://reward-claim.example/winner. Failure to respond may result in permanent suspension. Reference ID: PH-0472.",phishing,1
phishing-0184,notice@tax-refund-review.com,Tax Refund Confirmation Required,"Dear Customer, Your mailbox will be disabled because it has exceeded its storage limit. Update your payment information: http://payment-review.example/billing. Failure to respond may result in permanent suspension. Reference ID: PH-0184.","Tax Refund Confirmation Required Dear Customer, Your mailbox will be disabled because it has exceeded its storage limit. Update your payment information: http://payment-review.example/billing. Failure to respond may result in permanent suspension. Reference ID: PH-0184.",phishing,1
safe-0208,billing@subscription.example,Welcome to Our Newsletter,"Hello, This message contains the agenda for our upcoming meeting. No action is required at this time. Regards, Account Services. Message reference: SAFE-0208.","Welcome to Our Newsletter Hello, This message contains the agenda for our upcoming meeting. No action is required at this time. Regards, Account Services. Message reference: SAFE-0208.",safe,0
phishing-0236,support@account-verification.net,Confirm Your Banking Information,"Dear Customer, Your account has temporarily been suspended. Confirm your delivery address: http://mailbox-validation.example/signin. Failure to respond may result in permanent suspension. Reference ID: PH-0236.","Confirm Your Banking Information Dear Customer, Your account has temporarily been suspended. Confirm your delivery address: http://mailbox-validation.example/signin. Failure to respond may result in permanent suspension. Reference ID: PH-0236.",phishing,1
safe-0043,team@project.example,Monthly Subscription Receipt,"Hello, This is a reminder about the scheduled team meeting. Please contact your manager if you have any questions. Regards, Account Services. Message reference: SAFE-0043.","Monthly Subscription Receipt Hello, This is a reminder about the scheduled team meeting. Please contact your manager if you have any questions. Regards, Account Services. Message reference: SAFE-0043.",safe,0
phishing-0177,helpdesk@password-confirmation.net,Claim Your Reward Before It Expires,"Dear Customer, You have been selected to receive a limited reward. Validate your identity within 24 hours: http://192.168.1.10/login/verify-account. Failure to respond may result in permanent suspension. Reference ID: PH-0177.","Claim Your Reward Before It Expires Dear Customer, You have been selected to receive a limited reward. Validate your identity within 24 hours: http://192.168.1.10/login/verify-account. Failure to respond may result in permanent suspension. Reference ID: PH-0177.",phishing,1
safe-0458,team@project.example,Meeting Agenda for Tomorrow,"Hello, This is a reminder about the scheduled team meeting. We appreciate your continued participation. Best regards, Project Management. Message reference: SAFE-0458.","Meeting Agenda for Tomorrow Hello, This is a reminder about the scheduled team meeting. We appreciate your continued participation. Best regards, Project Management. Message reference: SAFE-0458.",safe,0
safe-0220,orders@shop.example,Community Event Invitation,"Hello, A new software update is available with performance improvements. We appreciate your continued participation. Thank you, Human Resources. Message reference: SAFE-0220.","Community Event Invitation Hello, A new software update is available with performance improvements. We appreciate your continued participation. Thank you, Human Resources. Message reference: SAFE-0220.",safe,0
